Index,Ir,Pd,Pt,Ru
81,15.76,63.19,8.41,12.64
82,15.0,61.99,9.56,13.45
83,15.45,59.33,9.8,15.42
84,14.86,56.7,10.84,17.59
85,15.17,54.02,11.84,18.97
86,14.88,51.66,12.48,20.97
87,13.87,48.75,14.04,23.34
88,13.92,45.35,15.68,25.05
89,13.13,43.28,16.66,26.93
90,11.79,40.09,17.85,30.27
91,12.37,36.24,18.82,32.56
92,11.08,33.74,20.31,34.87
93,10.15,31.16,21.46,37.23
94,9.46,27.55,22.9,40.09
95,13.96,75.29,5.12,5.64
96,14.65,73.44,5.51,6.4
97,14.43,72.72,6.02,6.83
98,14.04,71.08,6.79,8.09
99,14.72,68.99,7.48,8.81
100,13.75,67.71,8.09,10.45
101,13.31,66.26,9.09,11.34
102,14.18,63.04,9.82,12.95
103,13.74,60.84,10.35,15.07
104,14.45,58.46,11.1,15.99
105,13.34,56.48,12.25,17.93
106,13.6,54.0,13.21,19.19
107,13.51,50.87,14.56,21.06
108,13.47,47.64,16.05,22.84
109,12.2,45.53,17.01,25.25
110,11.38,42.25,18.51,27.86
111,11.3,38.93,19.55,30.22
112,11.16,35.44,20.68,32.73
113,9.8,32.9,22.3,35.01
114,9.32,29.59,23.7,37.39
115,8.63,27.08,24.42,39.86
116,12.96,77.17,4.96,4.91
117,13.38,75.33,5.73,5.56
118,13.21,74.45,6.32,6.02
119,13.15,72.84,6.76,7.25
120,13.05,71.16,7.55,8.23
121,12.79,69.17,8.27,9.77
122,12.94,67.46,9.09,10.52
123,13.11,65.55,9.81,11.53
124,12.49,63.98,10.53,13.0
125,13.01,60.82,11.42,14.74
126,12.55,58.4,12.51,16.54
127,12.87,55.76,13.35,18.03
128,12.28,52.96,14.8,19.96
129,12.17,49.92,16.21,21.7
130,11.24,46.67,18.08,24.01
131,10.68,43.91,18.87,26.54
132,10.49,40.02,20.33,29.16
133,9.99,37.03,21.8,31.18
134,9.07,34.78,23.09,33.07
135,8.73,31.16,24.65,35.46
136,8.26,27.18,26.83,37.73
137,11.66,78.37,5.34,4.63
138,11.46,77.54,5.67,5.34
139,11.71,76.1,6.22,5.98
140,12.03,73.76,6.94,7.28
141,12.27,72.57,7.87,7.29
142,11.31,71.13,8.52,9.03
143,12.28,68.48,9.35,9.89
144,12.28,67.04,9.93,10.75
145,11.92,65.07,10.85,12.17
146,12.04,62.33,11.93,13.7
147,10.96,60.49,13.06,15.49
148,11.81,57.45,14.09,16.65
149,10.61,55.12,15.24,19.03
150,10.98,52.31,16.34,20.36
151,10.37,49.18,17.69,22.76
152,9.87,45.67,19.71,24.75
153,9.63,42.46,20.86,27.05
154,8.27,39.69,23.15,28.9
155,8.46,35.79,24.66,31.09
156,8.27,32.78,25.64,33.32
157,6.52,29.98,27.28,36.22
158,10.47,80.2,5.01,4.32
159,10.89,78.79,5.5,4.82
160,10.45,77.91,6.55,5.08
161,10.71,76.28,6.96,6.05
162,10.85,74.41,7.85,6.88
163,11.19,72.03,8.88,7.91
164,10.42,71.04,9.7,8.83
165,10.48,69.13,10.12,10.26
166,10.93,66.72,11.31,11.04
167,10.66,64.88,12.23,12.23
168,9.97,62.56,13.46,14.01
169,9.67,61.02,14.42,14.89
170,10.1,57.2,15.5,17.2
171,9.48,54.25,17.37,18.91
172,9.81,51.22,18.54,20.44
173,9.55,47.12,20.43,22.9
174,8.2,44.52,22.03,25.25
175,7.66,41.0,23.74,27.6
176,7.75,37.01,25.3,29.95
177,6.99,34.51,27.15,31.35
178,6.99,30.73,28.54,33.74
179,8.97,81.46,5.45,4.11
180,9.77,80.01,6.02,4.2
181,10.11,78.51,6.57,4.8
182,9.56,77.61,7.44,5.39
183,10.18,75.52,7.94,6.36
184,9.89,74.35,9.12,6.64
185,9.94,71.94,9.66,8.47
186,9.83,70.38,10.43,9.36
187,9.76,68.26,11.63,10.35
188,10.12,66.73,12.05,11.11
189,9.21,64.58,13.82,12.39
190,8.74,62.13,14.79,14.34
191,9.59,58.68,15.97,15.76
192,9.17,55.71,17.73,17.39
193,8.35,52.91,18.92,19.82
194,8.21,48.8,20.94,22.05
195,8.65,46.56,22.52,22.27
196,8.07,42.14,24.52,25.27
197,6.34,38.74,27.36,27.56
198,6.93,35.01,28.86,29.21
199,6.7,31.66,31.06,30.58
200,8.71,82.47,5.44,3.38
201,8.62,81.06,6.09,4.24
202,8.13,80.55,6.88,4.44
203,8.88,78.49,7.57,5.06
204,8.96,76.83,8.3,5.91
205,9.2,75.25,9.04,6.51
206,8.45,74.51,9.92,7.11
207,8.7,71.98,10.85,8.47
208,8.44,70.77,11.84,8.95
209,8.88,67.98,12.72,10.42
210,8.54,65.72,13.78,11.96
211,8.51,63.72,14.8,12.97
212,9.17,60.0,16.3,14.52
213,7.57,58.27,18.22,15.94
214,7.57,54.11,19.74,18.58
215,6.56,51.59,21.71,20.14
216,6.69,47.97,23.68,21.67
217,7.2,43.52,25.27,24.0
218,5.88,40.74,27.84,25.54
219,5.96,35.99,30.36,27.69
220,5.88,31.85,32.1,30.16
221,7.26,83.88,5.38,3.48
222,7.16,82.78,6.26,3.8
223,8.32,80.58,6.75,4.34
224,7.53,80.21,7.66,4.6
225,7.38,79.03,8.46,5.13
226,7.18,77.52,9.36,5.94
227,7.68,75.19,10.25,6.88
228,7.42,73.92,11.07,7.59
229,8.09,71.64,11.65,8.62
230,7.83,69.45,13.02,9.7
231,7.78,67.86,14.04,10.31
232,7.37,65.37,15.19,12.08
233,7.38,63.08,16.68,12.87
234,6.84,59.06,18.7,15.4
235,6.7,56.12,20.69,16.49
236,6.66,52.48,22.18,18.68
237,6.63,48.97,24.21,20.18
238,5.47,45.98,26.58,21.97
239,6.43,41.25,28.81,23.51
240,4.77,38.61,31.75,24.87
241,6.09,34.02,32.56,27.33
242,6.79,83.81,6.01,3.38
243,6.31,83.03,7.05,3.6
244,6.41,81.64,7.99,3.96
245,7.16,79.75,8.39,4.7
246,6.66,78.2,9.64,5.51
247,7.15,76.48,10.34,6.04
248,7.03,74.67,11.28,7.01
249,6.8,73.04,12.33,7.83
250,6.67,71.71,13.06,8.56
251,6.64,69.43,14.37,9.56
252,6.16,67.16,15.78,10.89
253,6.31,64.63,17.25,11.8
254,5.81,61.72,19.27,13.19
255,6.41,57.64,20.57,15.37
256,6.08,54.6,23.2,16.13
257,5.91,50.57,25.85,17.67
258,5.42,46.32,27.58,20.68
259,4.85,43.77,29.92,21.47
260,5.24,38.19,32.61,23.97
261,5.77,84.78,6.07,3.38
262,6.18,83.64,7.03,3.15
263,6.03,82.61,7.74,3.62
264,6.19,81.01,8.45,4.36
265,5.26,80.06,9.7,4.98
266,6.46,77.79,10.41,5.34
267,5.58,76.71,11.22,6.49
268,5.73,74.78,12.51,6.97
269,5.83,73.0,13.8,7.37
270,5.79,70.49,14.79,8.93
271,5.16,68.63,16.29,9.92
272,6.04,65.7,17.68,10.58
273,5.51,62.8,19.62,12.08
274,5.53,59.03,21.84,13.6
275,5.66,55.45,24.01,14.88
276,5.21,51.26,26.81,16.73
277,4.02,49.49,28.91,17.58
278,5.0,43.9,31.06,20.04
279,3.87,39.34,34.75,22.04
280,5.49,84.46,6.92,3.13
281,4.81,83.74,7.73,3.72
282,5.02,82.23,8.62,4.14
283,5.25,80.25,9.63,4.87
284,5.23,79.36,10.31,5.1
285,4.62,78.33,11.5,5.55
286,5.36,75.83,12.65,6.17
287,5.41,74.39,13.45,6.75
288,5.1,72.35,14.74,7.82
289,5.63,69.13,16.51,8.74
290,4.73,67.29,18.35,9.63
291,5.31,63.52,20.19,10.98
292,4.81,60.21,22.34,12.64
293,5.0,56.64,24.79,13.57
294,4.71,52.51,27.63,15.15
295,4.52,48.86,30.26,16.36
296,4.51,44.48,33.37,17.64
297,4.2,85.0,7.74,3.06
298,4.65,82.72,8.66,3.97
299,4.63,81.82,9.51,4.04
300,4.56,80.23,10.83,4.37
301,4.51,78.95,11.9,4.64
302,4.64,77.21,12.98,5.17
303,4.86,75.25,13.93,5.96
304,4.53,73.49,15.33,6.65
305,4.96,70.12,17.07,7.85
306,4.44,67.71,18.91,8.93
307,4.85,64.11,20.91,10.13
308,4.48,61.5,23.15,10.88
309,4.49,57.87,25.88,11.75
310,3.34,53.69,28.71,14.26
311,3.98,49.41,30.94,15.68
312,4.46,84.06,8.62,2.86
313,3.87,82.84,9.69,3.6
314,3.9,81.09,10.81,4.2
315,3.74,80.29,11.72,4.25
316,3.95,78.21,12.92,4.92
317,3.95,75.67,14.17,6.21
318,3.58,74.17,15.34,6.91
319,3.74,71.63,17.44,7.2
320,4.09,68.43,19.7,7.78
321,3.02,66.21,21.93,8.84
322,3.81,61.94,24.18,10.06
323,3.88,58.68,26.96,10.48
324,3.22,54.89,29.59,12.3
325,2.95,83.85,9.6,3.61
326,3.16,82.48,10.83,3.52
327,3.23,80.79,12.09,3.89
328,3.33,78.85,13.16,4.67
329,3.35,76.87,14.58,5.2
330,3.62,74.43,16.21,5.74
331,3.17,72.09,17.78,6.96
332,3.45,69.43,19.73,7.38
333,3.04,66.23,22.49,8.24
334,3.71,62.82,24.79,8.68
335,3.04,58.76,28.18,10.02
336,2.25,81.99,12.44,3.33
337,3.37,79.21,13.42,4.01
338,3.18,77.32,14.98,4.52
339,3.01,75.03,16.76,5.19
340,3.07,73.09,18.61,5.23
341,2.98,70.15,20.86,6.01
342,3.18,65.7,23.66,7.46
